label,sample_index,seed,sample_size,pool_label,pool_size,features
random_top33_seed240524_k12_001,1,240524,12,prompt_delta_top33,33,"20:1338,20:4326,20:5990,20:6289,20:8754,20:9135,20:9149,20:9407,20:12002,20:12313,20:12652,20:12963"
random_top33_seed240524_k12_002,2,240524,12,prompt_delta_top33,33,"20:321,20:1100,20:1338,20:4339,20:6169,20:6289,20:7531,20:9024,20:12313,20:12704,20:13060,20:13854"
random_top33_seed240524_k12_003,3,240524,12,prompt_delta_top33,33,"20:321,20:1338,20:1813,20:3850,20:4339,20:5355,20:6289,20:7531,20:11545,20:12652,20:12963,20:13882"
random_top33_seed240524_k12_004,4,240524,12,prompt_delta_top33,33,"20:321,20:3850,20:4326,20:4339,20:5355,20:6289,20:7531,20:9407,20:12963,20:13622,20:13882,20:15169"
random_top33_seed240524_k12_005,5,240524,12,prompt_delta_top33,33,"20:1100,20:1338,20:4339,20:5355,20:5990,20:8754,20:9001,20:9024,20:11545,20:13060,20:13854,20:14991"
random_top33_seed240524_k12_006,6,240524,12,prompt_delta_top33,33,"20:3850,20:5990,20:6289,20:7965,20:8775,20:9024,20:9135,20:9149,20:11414,20:11545,20:12002,20:14991"
random_top33_seed240524_k12_007,7,240524,12,prompt_delta_top33,33,"20:5990,20:6169,20:6289,20:7531,20:7965,20:8754,20:8775,20:9135,20:9149,20:12313,20:13882,20:15169"
random_top33_seed240524_k12_008,8,240524,12,prompt_delta_top33,33,"20:321,20:4326,20:6169,20:7531,20:8754,20:8775,20:9407,20:11414,20:11545,20:12313,20:12652,20:15169"
random_top33_seed240524_k12_009,9,240524,12,prompt_delta_top33,33,"20:3850,20:6169,20:8754,20:9001,20:9135,20:9149,20:9407,20:11414,20:11545,20:12963,20:13060,20:14991"
random_top33_seed240524_k12_010,10,240524,12,prompt_delta_top33,33,"20:321,20:1813,20:7531,20:7965,20:8775,20:9001,20:9024,20:9135,20:12002,20:12313,20:12652,20:12704"
