label,sample_index,seed,sample_size,pool_label,pool_size,features
random_top33_seed240525_k11_001,1,240525,11,prompt_delta_top33,33,"20:1100,20:1813,20:5990,20:6169,20:6289,20:9024,20:9149,20:11414,20:11545,20:12002,20:12704"
random_top33_seed240525_k11_002,2,240525,11,prompt_delta_top33,33,"20:1100,20:1338,20:3850,20:6289,20:9001,20:9024,20:9407,20:11545,20:12704,20:13622,20:15169"
random_top33_seed240525_k11_003,3,240525,11,prompt_delta_top33,33,"20:3850,20:4339,20:6169,20:6289,20:9135,20:9149,20:12313,20:12652,20:13854,20:14991,20:15169"
random_top33_seed240525_k11_004,4,240525,11,prompt_delta_top33,33,"20:1100,20:1813,20:4326,20:5990,20:7965,20:9135,20:11545,20:12002,20:12963,20:13060,20:14991"
random_top33_seed240525_k11_005,5,240525,11,prompt_delta_top33,33,"20:1338,20:3850,20:5355,20:9001,20:9024,20:11545,20:12313,20:12704,20:13622,20:13854,20:15169"
random_top33_seed240525_k11_006,6,240525,11,prompt_delta_top33,33,"20:1338,20:1813,20:3850,20:4339,20:5990,20:6169,20:9001,20:11545,20:12313,20:13882,20:14991"
random_top33_seed240525_k11_007,7,240525,11,prompt_delta_top33,33,"20:1100,20:4326,20:7531,20:7965,20:8775,20:11414,20:11545,20:12963,20:13854,20:13882,20:14991"
random_top33_seed240525_k11_008,8,240525,11,prompt_delta_top33,33,"20:1100,20:3850,20:4326,20:5990,20:9001,20:9024,20:9149,20:11545,20:12313,20:13882,20:14991"
random_top33_seed240525_k11_009,9,240525,11,prompt_delta_top33,33,"20:4339,20:6169,20:9024,20:9407,20:11414,20:12002,20:12652,20:13060,20:13622,20:13882,20:15169"
random_top33_seed240525_k11_010,10,240525,11,prompt_delta_top33,33,"20:321,20:1338,20:1813,20:5355,20:6289,20:7965,20:8775,20:9024,20:9149,20:11545,20:12313"
random_top33_seed240525_k11_011,11,240525,11,prompt_delta_top33,33,"20:321,20:1338,20:1813,20:3850,20:6169,20:7531,20:9001,20:9149,20:12652,20:12704,20:13854"
random_top33_seed240525_k11_012,12,240525,11,prompt_delta_top33,33,"20:321,20:1100,20:4326,20:5355,20:5990,20:8775,20:9149,20:12002,20:12963,20:13060,20:15169"
random_top33_seed240525_k11_013,13,240525,11,prompt_delta_top33,33,"20:321,20:4339,20:5355,20:5990,20:8754,20:9024,20:9149,20:9407,20:12002,20:12652,20:13622"
random_top33_seed240525_k11_014,14,240525,11,prompt_delta_top33,33,"20:321,20:1813,20:4326,20:5990,20:7965,20:9001,20:11545,20:12002,20:13060,20:14991,20:15169"
random_top33_seed240525_k11_015,15,240525,11,prompt_delta_top33,33,"20:1338,20:1813,20:3850,20:6169,20:6289,20:8754,20:8775,20:9149,20:12963,20:13622,20:13854"
random_top33_seed240525_k11_016,16,240525,11,prompt_delta_top33,33,"20:1100,20:4339,20:5355,20:6169,20:9135,20:11545,20:12002,20:12313,20:13060,20:13622,20:13882"
random_top33_seed240525_k11_017,17,240525,11,prompt_delta_top33,33,"20:1100,20:1813,20:6169,20:6289,20:8754,20:8775,20:9001,20:9407,20:12002,20:12313,20:13882"
random_top33_seed240525_k11_018,18,240525,11,prompt_delta_top33,33,"20:3850,20:4326,20:4339,20:6169,20:6289,20:8775,20:11545,20:12002,20:12963,20:13060,20:14991"
random_top33_seed240525_k11_019,19,240525,11,prompt_delta_top33,33,"20:1100,20:3850,20:4326,20:4339,20:9001,20:9407,20:11414,20:12652,20:12704,20:13622,20:13882"
random_top33_seed240525_k11_020,20,240525,11,prompt_delta_top33,33,"20:1100,20:4326,20:4339,20:5355,20:6169,20:7965,20:9024,20:12313,20:12704,20:12963,20:15169"
random_top33_seed240525_k11_021,21,240525,11,prompt_delta_top33,33,"20:3850,20:4326,20:7965,20:9001,20:9135,20:9407,20:11545,20:12704,20:13060,20:13854,20:13882"
random_top33_seed240525_k11_022,22,240525,11,prompt_delta_top33,33,"20:3850,20:5355,20:6289,20:7531,20:9135,20:9149,20:11414,20:12002,20:12963,20:13854,20:15169"
random_top33_seed240525_k11_023,23,240525,11,prompt_delta_top33,33,"20:1338,20:1813,20:4326,20:4339,20:6289,20:8775,20:12652,20:12704,20:12963,20:13060,20:13622"
random_top33_seed240525_k11_024,24,240525,11,prompt_delta_top33,33,"20:1813,20:3850,20:5355,20:5990,20:6289,20:9407,20:12002,20:12313,20:12963,20:13622,20:13882"
random_top33_seed240525_k11_025,25,240525,11,prompt_delta_top33,33,"20:321,20:1813,20:4339,20:5990,20:9149,20:9407,20:11414,20:12002,20:12704,20:13622,20:15169"
random_top33_seed240525_k11_026,26,240525,11,prompt_delta_top33,33,"20:3850,20:4339,20:5355,20:6289,20:7531,20:9024,20:11414,20:11545,20:12704,20:12963,20:13622"
random_top33_seed240525_k11_027,27,240525,11,prompt_delta_top33,33,"20:321,20:1100,20:1813,20:6289,20:8775,20:9001,20:11414,20:12313,20:13060,20:13622,20:14991"
random_top33_seed240525_k11_028,28,240525,11,prompt_delta_top33,33,"20:1813,20:5355,20:5990,20:6289,20:8754,20:9001,20:9024,20:9135,20:11545,20:12313,20:12652"
random_top33_seed240525_k11_029,29,240525,11,prompt_delta_top33,33,"20:1338,20:1813,20:3850,20:4339,20:6169,20:9024,20:12002,20:12652,20:12704,20:13060,20:13882"
random_top33_seed240525_k11_030,30,240525,11,prompt_delta_top33,33,"20:321,20:1100,20:1338,20:4326,20:5355,20:9024,20:9149,20:11545,20:12002,20:12963,20:13622"
random_top33_seed240525_k11_031,31,240525,11,prompt_delta_top33,33,"20:321,20:3850,20:4339,20:5990,20:7531,20:9407,20:12313,20:12704,20:13854,20:13882,20:15169"
random_top33_seed240525_k11_032,32,240525,11,prompt_delta_top33,33,"20:3850,20:4326,20:5355,20:8775,20:9135,20:11545,20:12002,20:12963,20:13622,20:13854,20:14991"
