best_layer,best_module,expert_loss,gap_closed_to_expert,loss_improvement,patched_loss,recipient_contains_task,recipient_model,recipient_original_loss,task
15,block,1.0545302033424377,0.10301209960407683,0.7685902118682861,7.7471044063568115,False,base,8.515694618225098,arith
15,block,1.0545302033424377,0.16183614226241866,0.1587597131729126,1.8767609596252441,True,merge_all_linear,2.0355206727981567,arith
15,block,1.0545302033424377,0.14464061058602629,0.05014842748641968,1.3510923385620117,True,merge_arith_polite,1.4012407660484314,arith
15,block,1.0545302033424377,0.1585756735171822,0.053209662437438965,1.3368679881095886,True,merge_arith_refusal,1.3900776505470276,arith
15,block,1.0545302033424377,0.1436573972162801,0.9346904754638672,6.626225709915161,False,merge_polite_refusal,7.560916185379028,arith
29,block,0.2583068311214447,0.14456187128002698,0.3207744359970093,2.1564745903015137,False,base,2.477249026298523,polite
29,block,0.2583068311214447,0.2868961391928607,0.03654943406581879,0.34915344417095184,True,merge_all_linear,0.38570287823677063,polite
15,block,0.2583068311214447,0.12290539934586475,0.006473645567893982,0.30450496077537537,True,merge_arith_polite,0.31097860634326935,polite
29,block,0.2583068311214447,0.23053108834632244,0.35034090280532837,1.427678108215332,False,merge_arith_refusal,1.7780190110206604,polite
15,block,0.2583068311214447,0.2229893250608169,0.009518980979919434,0.29147590696811676,True,merge_polite_refusal,0.3009948879480362,polite
29,block,0.23539680242538452,0.1392186258999236,0.47043371200561523,3.1440634727478027,False,base,3.614497184753418,refusal
29,block,0.23539680242538452,0.464184930147577,0.117388054728508,0.3708994537591934,True,merge_all_linear,0.4882875084877014,refusal
29,block,0.23539680242538452,0.14713114560985505,0.47087347507476807,2.9648890495300293,False,merge_arith_polite,3.4357625246047974,refusal
29,block,0.23539680242538452,0.24139002838084359,0.019719496369361877,0.29736873507499695,True,merge_arith_refusal,0.3170882314443588,refusal
29,block,0.23539680242538452,0.7149654114575803,0.06469254195690155,0.26118771731853485,True,merge_polite_refusal,0.3258802592754364,refusal
