best_layer,best_module,expert_loss,gap_closed_to_expert,loss_improvement,patched_loss,recipient_contains_task,recipient_model,recipient_original_loss,task
15,block,1.0046685934066772,0.10271027875731288,0.7807912826538086,7.82575798034668,False,base,8.606549263000488,arith
15,block,1.0046685934066772,0.11027763003469382,0.14392447471618652,2.1658544540405273,True,merge_all_linear,2.309778928756714,arith
15,block,1.0046685934066772,0.08745490284559676,0.05068850517272949,1.5335760116577148,True,merge_arith_polite,1.5842645168304443,arith
15,block,1.0046685934066772,0.13319262985276387,0.06034994125366211,1.3974213600158691,True,merge_arith_refusal,1.4577713012695312,arith
15,block,1.0046685934066772,0.1512794156064805,0.8980345726013184,6.042898178100586,False,merge_polite_refusal,6.940932750701904,arith
29,block,0.2572268545627594,0.1545473384177127,0.322481632232666,2.0213656425476074,False,base,2.3438472747802734,polite
29,block,0.2572268545627594,0.31251737212095043,0.037964820861816406,0.34074270725250244,True,merge_all_linear,0.37870752811431885,polite
29,block,0.2572268545627594,0.13342924532221323,0.006699919700622559,0.30074021220207214,True,merge_arith_polite,0.3074401319026947,polite
29,block,0.2572268545627594,0.23444436359132328,0.35459280014038086,1.4151157140731812,False,merge_arith_refusal,1.769708514213562,polite
15,block,0.2572268545627594,0.25271708171182894,0.010048240423202515,0.28693944215774536,True,merge_polite_refusal,0.2969876825809479,polite
29,block,0.23511464893817902,0.14417987782741842,0.48365163803100586,3.1059646606445312,False,base,3.589616298675537,refusal
29,block,0.23511464893817902,0.4580613212229017,0.11532506346702576,0.3715573251247406,True,merge_all_linear,0.48688238859176636,refusal
15,block,0.23511464893817902,0.14687090456342358,0.4850444793701172,3.0525927543640137,False,merge_arith_polite,3.537637233734131,refusal
29,block,0.23511464893817902,0.2352423216565729,0.018885791301727295,0.29651114344596863,True,merge_arith_refusal,0.3153969347476959,refusal
29,block,0.23511464893817902,0.7047494390732183,0.06420189142227173,0.26201164722442627,True,merge_polite_refusal,0.326213538646698,refusal
