feature_id,pass_handle_count,hologram_rank,hologram_signed_delta,hologram_donor_mean,hologram_recipient_mean,family_rank,family_signed_delta,family_donor_mean,family_recipient_mean,broad_harmful_rank,broad_harmful_signed_delta,broad_harmful_donor_mean,broad_harmful_recipient_mean,drop_passes,drop_ties,drop_mean_margin,drop_max_margin,add_passes,add_ties,add_mean_margin,description,positive_logits,negative_logits,role
1338,2,28,3.542,1.771,0.000,207,6.057,3.198,2.945,346,-3.982,2.836,3.168,1,0,0.0156,0.0156,1,6,-0.0412,titles and roles related to leadership in marketing,▁officer:0.715 | ▁nahilalakip:0.652 | ▁Officer:0.641 | ▁OFFICER:0.555,▁opening:-1.78 | ▁Opening:-1.66 | Opening:-1.61 | ▁OPENING:-1.59,source feature with passing one-swap replacements
1813,7,31,3.475,1.738,0.000,31,39.175,12.402,10.770,19,25.337,11.795,9.684,0,20,-0.0105,0.0000,,,,expressive statements of excitement and emotion,▁lenker:0.637 | vertx:0.566 | ▁mergeFrom:0.551 | Obrázky:0.539,▁isn:-0.902 | :-0.867 | ▁weren:-0.816 | ▁aren:-0.812,common support; removals can tie but not pass
6289,4,33,-3.422,0.000,1.711,651,-3.422,0.000,0.143,6425,0.000,0.000,0.000,2,30,-0.0036,0.0156,,,,phrases related to organizational structure and leadership transitions,▁club:0.793 | Club:0.77 | ▁Club:0.766 | ▁CLUB:0.68,IntoConstraints:-0.91 | FontOfSize:-0.719 | ▁ModelExpression:-0.691 | AccessorTable:-0.68,source feature with passing one-swap replacements
7531,4,23,3.676,1.838,0.000,108,0.834,3.189,3.155,60,4.576,4.130,3.749,,,,,3,10,-0.0446,"sections of code, specifically highlighting variable declarations and control structures in programming",iotensin:0.598 | Зноскі:0.57 | 出版年:0.52 | dehydes:0.508,MethodManager:-0.582 | DeleteMapping:-0.547 | ▁exemplaires:-0.539 | bootstrapcdn:-0.527,contextual substitute in pass handles
8754,7,10,4.641,2.320,0.000,120,16.120,3.993,3.322,387,3.133,2.115,1.853,0,27,-0.0065,0.0000,,,,"information about specific individuals, particularly athletes and their backgrounds",▁ángel:0.512 | ▁anjo:0.475 | ▁relâche:0.473 | ▁Otta:0.465,ьаж:-0.715 | లాలు:-0.703 | ▁estekak:-0.695 | ▁الرياضيه:-0.684,common support; removals can tie but not pass
8775,2,14,4.050,2.025,0.000,271,-1.021,1.796,1.839,914,-1.509,0.784,0.909,3,12,-0.0036,0.0156,1,0,0.0156,requests or commands directed at others,▁shut:1.47 | ▁Shut:1.34 | Shut:1.33 | ▁stop:1.3,"DispatchToProps:-0.641 | ▁@""/:-0.633 | "">//:-0.594 | ▁jScrollPane:-0.57",source feature with passing one-swap replacements
9135,7,24,3.658,1.829,0.000,191,15.540,1.601,0.954,412,-4.456,0.535,0.906,0,12,-0.0171,0.0000,,,,references to file and package management in a coding environment,tima:0.457 | ▁kho:0.416 | uden:0.402 | gah:0.398,▁оригіналу:-0.938 | MigrationBuilder:-0.871 | ▁purpoſe:-0.828 | ▁архивлан:-0.801,common support; removals can tie but not pass
9149,7,22,-3.741,4.096,5.966,618,-3.741,0.341,0.497,13737,0.000,0.000,0.000,0,21,-0.0098,0.0000,,,,key phrases related to established organizations and their foundations,creativecommons:0.504 | 邦:0.449 | onghi:0.414 | ár:0.412,▁كومونز:-0.863 | ▁مشين:-0.793 | ніципалі:-0.785 | ▁myſelf:-0.77,common support; removals can tie but not pass
9407,2,6,-5.187,1.638,4.232,557,-5.245,0.372,0.591,704,-2.989,0.279,0.528,,,,,1,6,-0.0499,phrases related to self-reflection and personal growth,let:0.672 | Welcome:0.656 | lets:0.652 | ▁lets:0.633,afficheront:-0.766 | urlpatterns:-0.727 | sizeCache:-0.723 | LookAnd:-0.715,contextual substitute in pass handles
12652,7,27,3.550,1.775,0.000,155,2.843,2.893,2.775,233,-6.501,0.949,1.491,0,18,-0.0109,0.0000,,,,elements related to API requests and responses in code,"▁<="",:0.703 | Personendaten:0.699 | ▁propOrder:0.637 | AndEndTag:0.629",▁response:-0.848 | Response:-0.801 | response:-0.766 | ▁Response:-0.746,common support; removals can tie but not pass
